Com_id,Population
505,1861
506,812
507,881
508,27660
509,4706
510,3774
511,7791
512,321
513,116736
514,75841
515,27675
516,422
517,336
518,808009
519,13560
520,3462
521,1142
522,998
523,3862
524,8915
525,2461
526,528
527,1831
528,1336
529,26887
530,7296
531,18832
532,173024
533,4503
534,3213
535,3975
536,1470
537,208900
538,209
539,18308
540,3606
541,2140
542,1365
543,129257
544,778
545,1421
546,152381
547,186
548,18493
549,2123
550,117610
551,19852
552,338797
553,146371
554,39133
555,837
556,1641017
557,158649
558,6523
559,10921
560,3181
561,3030
562,839
563,4481
564,6809
565,32028
566,6606
567,5736
568,269883
569,1438
570,5081
571,2697
572,3259
573,3824
574,135004
575,6928
576,201
577,183
578,349
579,1186
580,899
581,303
582,2557
583,5978
584,275
585,265
586,792
587,2206
588,4136
589,3349
590,3081
591,15843
592,608
593,829
594,3025
595,20
596,734
597,551
598,10125
599,910
600,2300
601,2190
602,1558
603,3358
604,354128
605,126
606,349966
607,1147124
608,0
609,29999
610,237464
611,1910681
612,28487
613,854
614,478
615,183260
616,138828
617,248
618,2376
619,599
620,444
621,7287
622,231734
623,8204
624,487
625,3603
626,245
627,0
628,480
629,1563
630,5694
631,144
632,32303
633,43966
634,8787
635,213423
636,21540
637,368
638,141
639,6621
640,12267
641,1777
642,900
643,0
644,5104
645,3098
646,0
647,237
648,240
649,4297
650,3844
651,167499
652,4478
653,492
654,407
655,10790
656,5046
657,103
658,29884
659,1427
660,9472
661,480
662,4110
663,20075
664,2555
665,295
666,619
667,1405
668,17019
669,0
670,659
671,3761
672,196
673,127893
674,6751
675,497
676,3265
677,19444
678,2429
679,474
680,7156
