06B01,Upper Churchill (Sask.)
06C01,Central Churchill (Sask.) -- Upper
06D01,Reindeer
06E01,Central Churchill (Sask.-Man.) -- Lower
06E02,Churchill Diversion -- Southern Indian Lake
06F01,Lower Churchill (Man.)
06F02,Owl
06G01,North and South Knife
06G02,Seal
06G03,Caribou
06H01,Geillini
06H02,Thlewiaza
06H03,Tha-anne
06J01,Thelon
06K01,Dubawnt
06L01,Kazan
06M01,Baker Lake
06M02,Quoich
06M03,Chesterfield Inlet
06N01,Maguse
06N02,Ferguson
06N03,Wilson
06O01,Lorillard
06O02,Wager Bay
06P01,Hudson Bay Islands
06Q01,Northern Southampton Island
06R01,Repulse Bay
06R02,Barrow
06R03,Kingora
06S01,Gifford
06S02,MacDonald
06S03,Prince Charles Island
06S04,Koukdjuak
06S05,Aukpar
06T01,Northern Hudson Strait
06T02,Western Hudson Strait
07A01,Upper Athabasca
07A02,McLeod
07B01,Central Athabasca -- Upper
07B02,Pembina (Alta.)
07B03,Lesser Slave
07C01,Central Athabasca -- Lower
07C02,La Biche
07C03,Clearwater
07D01,Lower Athabasca
07E01,Williston Lake
07F01,Upper Peace
07G01,Smoky
07H01,Central Peace -- Upper
07J01,Central Peace -- Lower
07J02,Wabasca
07J03,Mikkwa
07K01,Lower Peace
07K02,Lake Claire
07L01,Fond du Lac
07L02,Eastern Lake Athabasca
07M01,Lake Athabasca
07N01,Slave
07O01,Hay
07P01,Southern Great Slave Lake
07Q01,Great Slave Lake -- Christie Bay -- South Shore
07Q02,Tazin
07Q03,Wellington Lake Diversion
07R01,Lockhart
07S01,Great Slave Lake -- Christie Bay -- North Shore
07S02,Great Slave Lake -- North Arm -- East Shore
07T01,Marian
07U01,Great Slave Lake -- North Arm -- West Shore
07U02,Western Great Slave Lake -- Outlet
08A01,Yakutat Bay
08A02,Alsek
08A03,Lituya Bay (U.S.A.)
08B01,Glacier Bay
08B02,Lynn Canal
08B03,Taku
08B04,Stephens Passage
08C01,Coastal Waters -- Stikine
08D01,Clarence Strait
08D02,Portland Canal
08D03,Nass
08E01,Coastal Waters -- Skeena
08E02,Skeena
08F01,Hecate Strait
08F02,Queen Charlotte Sound
08F03,Rivers Inlet
08G01,Eastern Queen Charlotte Strait
08G02,Strait of Georgia -- Eastern Shore
08H01,Southern Vancouver Island
08H02,South Central Vancouver Island
08H03,West Central Vancouver Island
08H04,Campbell - Heber Diversion
08H05,NW Vancouver Island
08H06,NE Vancouver Island
08H07,East Central Vancouver Island
08J01,Nechako
08J02,Kemano Diversion
08J03,Stuart
08K01,Headwaters Fraser
08K02,McGregor
08K03,Upper Fraser
08K04,West Road
08K05,Quesnel
08L01,North Thompson
08L02,South Thompson
08L03,Vernon Diversion
08L04,Thompson
08M01,Lower Fraser
08M02,Chilcotin
08M03,Harrison
08M04,Coquitlam - Buntzen Diversion
08M05,Boundary Bay
08N01,Upper Columbia
08N02,Central Columbia
08N03,Upper Kootenay
08N04,Central Kootenay
08N05,Lower Kootenay
08N06,Slocan
08N07,Clark Fork (U.S.A.)
08N08,Upper Flathead
08N09,Kettle
08N10,Okanagan
08N11,Similkameen
08O01,Graham Island
08O02,Moresby Island
08P01,Upper Skagit
09A01,Headwaters Yukon
09A02,Teslin
09A03,Big Salmon
09B01,Pelly
09C01,Upper Yukon
09C02,White
09D01,Stewart
09E01,Central Yukon
09E02,Klondike
09E03,Fortymile
09F01,Porcupine
09H01,Upper Tanana
09M01,Chitina
10A01,Upper Liard
10B01,Central Liard
10C01,Fort Nelson
10D01,Liard -- Petitot
10E01,Lower Liard
10E02,South Nahanni
10F01,Mackenzie -- Mills Lake
10G01,Mackenzie -- Camsell Bend
10H01,Mackenzie -- Blackwater Lake
10J01,Great Bear
10K01,Mackenzie -- The Ramparts
10L01,Lower Mackenzie
10L02,Hare Indian
10L03,Arctic Red
10L04,Eastern Mackenzie Delta
10M01,Western Mackenzie Delta
10M02,Peel
10M03,Southwestern Beaufort Sea
10N01,Southeastern Beaufort Sea
10N02,Anderson
10O01,Amundsen Gulf
10P01,Coppermine
10Q01,Coronation Gulf
